title,author,year,publication
Env-QA: A Video Question Answering Benchmark for Comprehensive Understanding of Dynamic Environments,"Gao Difei , Wang Ruiping , Bai Ziyi , Chen Xilin",2021,ICCV2021
Region-Aware Contrastive Learning for Semantic Segmentation,"Hu Hanzhe , Cui Jinshi , Wang Liwei",2021,ICCV2021
Image Retrieval on Real-Life Images With Pre-Trained Vision-and-Language Models,"Liu Zheyuan , Rodriguez-Opazo Cristian , Teney Damien , Gould Stephen",2021,ICCV2021
Self-Supervised Real-to-Sim Scene Generation,"Prakash Aayush , Debnath Shoubhik , Lafleche Jean-Francois , Cameracci Eric , State Gavriel , Birchfield Stan , Law Marc T.",2021,ICCV2021
GP-S3Net: Graph-Based Panoptic Sparse Semantic Segmentation Network,"Razani Ryan , Cheng Ran , Li Enxu , Taghavi Ehsan , Ren Yuan , Bingbing Liu",2021,ICCV2021
Learning From Noisy Data With Robust Representation Learning,"Li Junnan , Xiong Caiming , Hoi Steven C.H.",2021,ICCV2021
Self-Supervised 3D Skeleton Action Representation Learning With Motion Consistency and Continuity,"Su Yukun , Lin Guosheng , Wu Qingyao",2021,ICCV2021
Feature Importance-Aware Transferable Adversarial Attacks,"Wang Zhibo , Guo Hengchang , Zhang Zhifei , Liu Wenxin , Qin Zhan , Ren Kui",2021,ICCV2021
Exploring Classification Equilibrium in Long-Tailed Object Detection,"Feng Chengjian , Zhong Yujie , Huang Weilin",2021,ICCV2021
Meta Gradient Adversarial Attack,"Yuan Zheng , Zhang Jie , Jia Yunpei , Tan Chuanqi , Xue Tao , Shan Shiguang",2021,ICCV2021
Differentiable Convolution Search for Point Cloud Processing,"Nie Xing , Liu Yongcheng , Chen Shaohong , Chang Jianlong , Huo Chunlei , Meng Gaofeng , Tian Qi , Hu Weiming , Pan Chunhong",2021,ICCV2021
Zero-Shot Day-Night Domain Adaptation With a Physics Prior,"Lengyel Attila , Garg Sourav , Milford Michael , van Gemert Jan C.",2021,ICCV2021
Sketch Your Own GAN,"Wang Sheng-Yu , Bau David , Zhu Jun-Yan",2021,ICCV2021
Minimal Solutions for Panoramic Stitching Given Gravity Prior,"Ding Yaqing , Barath Daniel , Kukelova Zuzana",2021,ICCV2021
iPOKE: Poking a Still Image for Controlled Stochastic Video Synthesis,"Blattmann Andreas , Milbich Timo , Dorkenwald Michael , Ommer Bj\""orn",2021,ICCV2021
Neural Radiance Flow for 4D View Synthesis and Video Processing,"Du Yilun , Zhang Yinan , Yu Hong-Xing , Tenenbaum Joshua B. , Wu Jiajun",2021,ICCV2021
Assignment-Space-Based Multi-Object Tracking and Segmentation,"Choudhuri Anwesa , Chowdhary Girish , Schwing Alex,er G.",2021,ICCV2021
Vi2CLR: Video and Image for Visual Contrastive Learning of Representation,"Diba Ali , Sharma Vivek , Safdari Reza , Lotfi Dariush , Sarfraz Saquib , Stiefelhagen Rainer , Van Gool Luc",2021,ICCV2021
R-MSFM: Recurrent Multi-Scale Feature Modulation for Monocular Depth Estimating,"Zhou Zhongkai , Fan Xinnan , Shi Pengfei , Xin Yuanxue",2021,ICCV2021
Spatially Conditioned Graphs for Detecting Human-Object Interactions,"Zhang Frederic Z. , Campbell Dylan , Gould Stephen",2021,ICCV2021
G-DetKD: Towards General Distillation Framework for Object Detectors via Contrastive and Semantic-Guided Feature Imitation,"Yao Lewei , Pi Renjie , Xu Hang , Zhang Wei , Li Zhenguo , Zhang Tong",2021,ICCV2021
End-to-End Detection and Pose Estimation of Two Interacting Hands,"Kim Dong Uk , Kim Kwang In , Baek Seungryul",2021,ICCV2021
Fog Simulation on Real LiDAR Point Clouds for 3D Object Detection in Adverse Weather,"Hahner Martin , Sakaridis Christos , Dai Dengxin , Van Gool Luc",2021,ICCV2021
