title,author,year,publication,citation
R-MSFM: Recurrent Multi-Scale Feature Modulation for Monocular Depth Estimating,"Zhou Zhongkai , Fan Xinnan , Shi Pengfei , Xin Yuanxue",2021,ICCV2021,2
Spatially Conditioned Graphs for Detecting Human-Object Interactions,"Zhang Frederic Z. , Campbell Dylan , Gould Stephen",2021,ICCV2021,37
G-DetKD: Towards General Distillation Framework for Object Detectors via Contrastive and Semantic-Guided Feature Imitation,"Yao Lewei , Pi Renjie , Xu Hang , Zhang Wei , Li Zhenguo , Zhang Tong",2021,ICCV2021,15
End-to-End Detection and Pose Estimation of Two Interacting Hands,"Kim Dong Uk , Kim Kwang In , Baek Seungryul",2021,ICCV2021,0
Fog Simulation on Real LiDAR Point Clouds for 3D Object Detection in Adverse Weather,"Hahner Martin , Sakaridis Christos , Dai Dengxin , Van Gool Luc",2021,ICCV2021,35
Revisiting Adversarial Robustness Distillation: Robust Soft Labels Make Student Better,"Zi Bojia , Zhao Shihao , Ma Xingjun , Jiang Yu-Gang",2021,ICCV2021,26
Normalization Matters in Weakly Supervised Object Localization,"Kim Jeesoo , Choe Junsuk , Yun Sangdoo , Kwak Nojun",2021,ICCV2021,17
Joint Inductive and Transductive Learning for Video Object Segmentation,"Mao Yunyao , Wang Ning , Zhou Wengang , Li Houqiang",2021,ICCV2021,38
Contrast and Order Representations for Video Self-Supervised Learning,"Hu Kai , Shao Jie , Liu Yuan , Raj Bhiksha , Savvides Marios , Shen Zhiqiang",2021,ICCV2021,33
Out-of-Core Surface Reconstruction via Global TGV Minimization,Poliarnyi Nikolai,2021,ICCV2021,2
Skeleton Cloud Colorization for Unsupervised 3D Action Representation Learning,"Yang Siyuan , Liu Jun , Lu Shijian , Er Meng Hwa , Kot Alex C.",2021,ICCV2021,36
Latent Transformations via NeuralODEs for GAN-Based Image Editing,"Khrulkov Valentin , Mirvakhabova Leyla , Oseledets Ivan , Babenko Artem",2021,ICCV2021,7
DECA: Deep Viewpoint-Equivariant Human Pose Estimation Using Capsule Autoencoders,"Garau Nicola , Bisagno Niccol\`o , Br\'odka Piotr , Conci Nicola",2021,ICCV2021,9
